                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0458,                 4.2649,                 1.4623,                0.00726,                0.66667,                0.02858,                 0.0255,                 0.3153,                 5.5941,                0.66725,             0.00010983,             0.00010983,             0.00010983
                      2,                 0.8979,                 3.5038,                 1.3546,                0.46562,                    0.2,                0.26179,                0.20664,                0.39873,                 69.037,                0.75469,             0.00021865,             0.00021865,             0.00021865
                      3,                0.88841,                 3.0008,                 1.3431,                0.33072,                0.74526,                 0.3428,                0.26787,                0.47277,                 52.489,                0.81253,             0.00032526,             0.00032526,             0.00032526
                      4,                0.87863,                 2.6825,                 1.3197,                0.38318,                0.51852,                0.65051,                0.53199,                0.44129,                 50.395,                0.77882,             0.00032311,             0.00032311,             0.00032311
                      5,                0.83062,                 2.3967,                 1.2669,                0.77219,                0.82723,                0.87919,                0.72532,                0.37176,                 48.483,                0.70589,             0.00031981,             0.00031981,             0.00031981
                      6,                 0.8051,                 2.1252,                 1.2331,                  0.603,                0.61587,                0.63098,                 0.5034,                0.46446,                  36.46,                0.79305,             0.00031652,             0.00031652,             0.00031652
                      7,                0.80558,                 2.0118,                 1.2344,                0.75227,                0.76208,                0.66724,                0.59406,                0.35028,                 62.223,                0.66835,             0.00031322,             0.00031322,             0.00031322
                      8,                0.80135,                  1.844,                 1.2281,                0.75409,                0.77483,                0.76889,                0.64283,                 0.3849,                 59.834,                0.69453,             0.00030992,             0.00030992,             0.00030992
                      9,                0.78029,                  1.715,                  1.214,                0.62478,                0.88604,                0.79107,                0.63666,                0.44843,                 59.066,                0.75884,             0.00030663,             0.00030663,             0.00030663
                     10,                0.75286,                 1.6498,                 1.1999,                0.69791,                0.87388,                0.93859,                0.65409,                 0.6706,                  65.83,                 1.0426,             0.00030333,             0.00030333,             0.00030333
                     11,                0.75044,                 1.5453,                 1.1826,                0.73981,                0.93895,                  0.995,                0.73131,                0.53325,                 62.261,                 0.8511,             0.00030003,             0.00030003,             0.00030003
                     12,                 0.7453,                 1.4768,                 1.1835,                0.68141,                0.95623,                0.81139,                0.61388,                0.50085,                 62.912,                0.82054,             0.00029674,             0.00029674,             0.00029674
                     13,                0.72794,                 1.4172,                 1.1764,                0.80932,                0.80188,                0.77694,                0.66209,                0.40178,                 63.228,                0.72154,             0.00029344,             0.00029344,             0.00029344
                     14,                0.71169,                 1.3367,                 1.1617,                0.76366,                0.93333,                0.81806,                0.67551,                0.43761,                  61.52,                0.76131,             0.00029014,             0.00029014,             0.00029014
                     15,                0.71242,                 1.3137,                 1.1587,                0.75128,                 0.9139,                0.98389,                 0.8058,                0.42893,                 75.275,                0.74849,             0.00028685,             0.00028685,             0.00028685
                     16,                0.70711,                  1.257,                 1.1564,                0.92274,                0.88259,                0.98389,                0.79602,                0.48972,                 65.101,                0.83996,             0.00028355,             0.00028355,             0.00028355
                     17,                0.69652,                 1.2442,                 1.1527,                0.86338,                0.78232,                0.94689,                0.78914,                0.40763,                 64.668,                0.71158,             0.00028025,             0.00028025,             0.00028025
                     18,                0.70295,                   1.19,                 1.1501,                 0.8208,                0.95283,                0.82917,                 0.7067,                0.42915,                 60.532,                0.73969,             0.00027696,             0.00027696,             0.00027696
                     19,                0.67602,                 1.1689,                 1.1411,                0.79656,                0.73281,                0.79107,                0.66785,                0.41312,                 72.739,                0.73015,             0.00027366,             0.00027366,             0.00027366
                     20,                0.68569,                 1.1381,                 1.1366,                0.69716,                0.86667,                0.80417,                0.69554,                0.39177,                 60.817,                0.71083,             0.00027036,             0.00027036,             0.00027036
                     21,                0.68435,                 1.1091,                 1.1374,                0.71142,                0.92408,                0.79583,                0.69073,                0.35434,                 69.726,                0.66744,             0.00026707,             0.00026707,             0.00026707
                     22,                0.67329,                 1.0465,                 1.1392,                0.75626,                0.85404,                0.92791,                0.75963,                0.42585,                 73.861,                0.74253,             0.00026377,             0.00026377,             0.00026377
                     23,                0.68234,                  1.038,                  1.131,                0.87471,                0.79292,                0.97595,                0.78946,                0.53695,                 77.803,                0.85109,             0.00026047,             0.00026047,             0.00026047
                     24,                0.67411,                  1.026,                  1.133,                 0.8291,                0.78386,                  0.984,                0.71879,                0.62592,                 79.599,                0.98935,             0.00025718,             0.00025718,             0.00025718
                     25,                0.65941,                 0.9943,                 1.1182,                0.75096,                0.86206,                0.76656,                 0.6099,                0.48855,                 61.229,                0.81243,             0.00025388,             0.00025388,             0.00025388
                     26,                0.66601,                0.97506,                 1.1218,                0.79663,                0.88157,                0.95611,                0.83059,                0.39448,                 72.905,                0.71306,             0.00025058,             0.00025058,             0.00025058
                     27,                 0.6607,                0.95779,                 1.1234,                0.72123,                0.94395,                0.82183,                0.67624,                0.45847,                 71.429,                0.76586,             0.00024729,             0.00024729,             0.00024729
                     28,                0.67916,                0.98493,                 1.1332,                0.81846,                 0.7864,                0.98022,                0.83822,                0.34734,                 69.652,                0.66064,             0.00024399,             0.00024399,             0.00024399
                     29,                0.63823,                0.91559,                 1.1025,                0.77061,                0.97995,                0.82183,                   0.67,                0.49924,                 71.214,                 0.8309,             0.00024069,             0.00024069,             0.00024069
                     30,                0.65503,                0.94064,                 1.1224,                0.79243,                0.76419,                0.77815,                0.65254,                0.48687,                 77.951,                0.77386,              0.0002374,              0.0002374,              0.0002374
                     31,                0.64604,                0.90312,                 1.1151,                0.75669,                0.91552,                 0.8255,                0.71126,                0.33773,                 79.715,                  0.651,              0.0002341,              0.0002341,              0.0002341
